Critics Choice,Producers,DAG Director,BAFTA,Oscar Winner,Year
Spotlight,The Big Short,The Revenant,The Revenant,Spotlight,2015
Boyhood,Birdman,Birdman,Boyhood,Birdman,2014
12 Years a Slave,12 Years a Slave,Gravity,12 Years a Slave,12 Years a Slave,2013
Argo,Argo,Argo,Argo,Argo,2012
The Artist,The Artist,The Artist,The Artist,The Artist,2011
The Social Network,The King’s Speech,The King’s Speech,The King’s Speech,The King’s Speech,2010
The Hurt Locker,The Hurt Locker,The Hurt Locker,The Hurt Locker,The Hurt Locker,2009
Slumdog Millionaire,Slumdog Millionaire,Slumdog Millionaire,Slumdog Millionaire,Slumdog Millionaire,2008
No Country for Old Men,No Country for Old Men,No Country for Old Men,Atonement,No Country For Old Men,2007
The Departed,Little Miss Sunshine,The Departed,The Queen,The Departed,2006
Brokeback Mountain,Brokeback Mountain,Brokeback Mountain,Brokeback Mountain,Crash,2005
Sideways,The Aviator,Million Dollar Baby,The Aviator,Million Dollar Baby,2004
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003
Chicago,Chicago,Chicago,The Pianist,Chicago,2002
A Beautiful Mind,Moulin Rouge!,A Beautiful Mind,The Lord of the Rings: The Fellowship of the Ring,A Beautiful Mind ,2001
Gladiator,Gladiator,"Crouching Tiger, Hidden Dragon",Gladiator,Gladiator,2000
American Beauty,American Beauty,American Beauty,American Beauty,American Beauty,1999
Saving Private Ryan,Saving Private Ryan,Saving Private Ryan,Shakespeare in Love,Shakespeare In Love ,1998
L.A. Confidential,Titanic,Titanic,The Full Monty,Titanic ,1997
Fargo,The English Patient,The English Patient,The English Patient,"English Patient, The ",1996
Sense and Sensibility,Apollo 13,Apollo 13,Sense and Sensibility,Braveheart ,1995
,Forrest Gump,Forrest Gump,Four Weddings and a Funeral,Forrest Gump ,1994
,Schindler’s List,Schindler's List,Schindler's List,Schindler's List ,1993
,The Crying Game,Unforgiven,Howards End,Unforgiven ,1992
,The Silence of the Lambs,The Silence of the Lambs,The Commitments,The Silence of the Lambs,1991
,Dances with Wolves,Dances with Wolves,Goodfellas,Dances with Wolves ,1990
,Driving Miss Daisy,,Dead Poets Society,Driving Miss Daisy ,1989
,,,The Last Emperor,Rain Man ,1988
,,,Jean de Florette,The Last Emperor,1987
,,,A Room with a View,Platoon ,1986
,,,The Purple Rose of Cairo,Out of Africa ,1985
,,,The Killing Fields,Amadeus ,1984
,,,Educating Rita,Terms of Endearment ,1983
,,,Gandhi,Gandhi ,1982
,,,Chariots of Fire,Chariots of Fire ,1981
,,,The Elephant Man,Ordinary People ,1980
,,,Manhattan,Kramer vs. Kramer ,1979
,,,Julia,"Deer Hunter, The ",1978
,,,Annie Hall,Annie Hall ,1977
,,,One Flew Over the Cuckoo's Nest,Rocky ,1976
,,,Alice Doesn't Live Here Anymore,One Flew Over the Cuckoo's Nest ,1975
,,,Lacombe Lucien,"Godfather: Part II, The ",1974
,,,Day for Night,"Sting, The ",1973
,,,Cabaret,"Godfather, The ",1972
,,,Sunday Bloody Sunday,The French Connection,1971
,,,Butch Cassidy and the Sundance Kid,Patton ,1970
,,,Midnight Cowboy,Midnight Cowboy ,1969
,,,The Graduate,Oliver! ,1968
,,,A Man For All Seasons,In the Heat of the Night ,1967
,,,Who's Afraid of Virginia Woolf?,A Man for All Seasons,1966
,,,My Fair Lady,A Sound of Music,1965
,,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,My Fair Lady ,1964
,,,Tom Jones,Tom Jones ,1963
,,,Lawrence of Arabia,Lawrence of Arabia ,1962
,,,The Hustler/Ballad of Solider,West Side Story ,1961
,,,The Apartment,The Apartment,1960
,,,Ben-Hur,Ben-Hur ,1959
,,,Room at the Top,Gigi ,1958
,,,The Bridge on the River Kwai,The Bridge on the River Kwai ,1957
,,,Gervaise,Around the World in 80 Days,1956
,,,Richard III,Marty ,1955
,,,The Wages of Fear,On the Waterfront ,1954
,,,Forbidden Games,From Here to Eternity ,1953
,,,The Sound Barrier,The Greatest Show on Earth,1952
,,,La Ronde,An American In Paris,1951
,,,All About Eve,All About Eve ,1950
